Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,77.959999,79.970001,72.110001,74.760002,54.617439,50138800
2014-02-01,74.480003,78.000000,70.519997,73.820000,53.930676,33483800
2014-03-01,73.180000,77.750000,72.769997,74.019997,54.076820,37553900
2014-04-01,74.419998,75.000000,66.440002,70.389999,51.743076,44145400
2014-05-01,70.809998,72.480003,67.540001,72.000000,52.926575,29519900
2014-06-01,72.059998,72.489998,69.160004,70.949997,52.154736,29454300
2014-07-01,70.980003,76.220001,69.739998,73.940002,54.722672,30970100
2014-08-01,73.709999,77.419998,72.250000,76.550003,56.654308,28218500
2014-09-01,76.580002,83.660004,75.300003,79.959999,59.178040,34046100
2014-10-01,79.959999,83.879997,75.940002,83.809998,62.411106,41854800
2014-11-01,84.110001,86.400002,82.510002,84.639999,63.029186,24498400
2014-12-01,84.589996,93.910004,84.010002,88.650002,66.015312,34081700
2015-01-01,89.220001,89.970001,83.430000,85.300003,65.266693,31165900
2015-02-01,85.839996,97.120003,84.769997,95.930000,73.400169,27778900
2015-03-01,95.730003,100.610001,93.680000,94.709999,72.466690,41158800
2015-04-01,94.480003,94.980003,88.220001,90.910004,69.920219,34832700
2015-05-01,91.639999,96.489998,89.760002,94.199997,72.450630,25663400
2015-06-01,94.480003,99.220001,92.309998,93.059998,71.573807,33900500
2015-07-01,93.830002,100.870003,93.110001,96.040001,74.252724,29545500
2015-08-01,96.370003,98.660004,84.330002,94.440002,73.015701,34771700
2015-09-01,92.349998,96.230003,89.300003,92.739998,71.701340,37164000
2015-10-01,92.830002,97.820000,86.980003,94.470001,73.436150,31161000
2015-11-01,94.959999,98.870003,94.059998,97.650002,75.908096,22718600
2015-12-01,98.190002,100.080002,90.160004,90.599998,70.427780,34946500
2016-01-01,88.800003,89.940002,81.870003,89.849998,72.415176,41290600
2016-02-01,89.779999,94.449997,85.470001,91.440002,73.696678,38903200
2016-03-01,91.790001,97.739998,89.870003,96.050003,77.412148,36489100
2016-04-01,95.820000,97.519997,89.000000,91.910004,74.553482,47809500
2016-05-01,92.599998,99.000000,92.000000,97.889999,79.404198,28137300
2016-06-01,97.790001,98.230003,92.290001,97.400002,79.006737,35670100
2016-07-01,97.010002,103.339996,95.599998,102.239998,83.454102,24917300
2016-08-01,102.580002,109.620003,102.300003,108.349998,88.441437,25498500
2016-09-01,108.529999,110.349998,104.199997,104.519997,85.315178,32532600
2016-10-01,104.089996,105.650002,99.180000,100.099998,82.165070,24145000
2016-11-01,100.529999,117.800003,98.949997,112.910004,92.679901,46602100
2016-12-01,113.589996,124.010002,113.000000,115.349998,94.682716,34496200
2017-01-01,116.160004,121.690002,113.269997,121.080002,102.653603,28773100
2017-02-01,121.500000,123.550003,115.599998,121.459999,102.975769,31014300
2017-03-01,123.010002,127.599998,117.099998,118.800003,100.720581,37027300
2017-04-01,118.820000,120.790001,114.820000,116.190002,99.036789,28141200
2017-05-01,116.550003,119.180000,114.879997,117.290001,99.974388,30369300
2017-06-01,117.529999,127.959999,116.620003,125.239998,106.750732,29856600
2017-07-01,125.330002,127.360001,119.300003,122.620003,105.109337,27270900
2017-08-01,123.650002,127.769997,120.320000,125.800003,107.835228,25575400
2017-09-01,125.629997,136.259995,124.510002,135.679993,116.304298,23876300
2017-10-01,135.729996,138.490005,132.330002,137.169998,118.188965,27299200
