Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,81.500000,85.879997,78.820000,79.879997,68.894592,70394800
2014-02-01,80.019997,84.750000,77.419998,83.349998,71.887405,47342400
2014-03-01,82.559998,84.690002,76.250000,79.720001,68.756607,69509700
2014-04-01,79.599998,80.389999,76.360001,80.220001,69.187836,71963300
2014-05-01,80.180000,81.489998,77.709999,81.449997,71.093185,42588900
2014-06-01,81.099998,84.559998,79.769997,80.839996,70.560738,60237800
2014-07-01,81.089996,81.690002,78.849998,79.279999,69.199112,50873500
2014-08-01,78.849998,81.989998,76.870003,81.059998,70.752777,42921000
2014-09-01,80.949997,82.160004,77.559998,81.320000,70.979736,67907500
2014-10-01,81.180000,81.419998,73.980003,81.120003,70.805153,75168600
2014-11-01,81.029999,86.489998,80.669998,86.330002,76.375412,43764800
2014-12-01,85.879997,91.940002,81.660004,89.309998,79.011787,62619800
2015-01-01,89.669998,91.339996,83.860001,84.029999,74.340622,54792200
2015-02-01,84.419998,91.440002,83.470001,90.029999,79.648773,41496100
2015-03-01,90.029999,94.980003,86.400002,93.690002,82.886749,68503900
2015-04-01,93.559998,96.779999,92.129997,92.650002,81.966675,48841600
2015-05-01,93.320000,97.949997,92.589996,96.040001,85.874489,39458400
2015-06-01,96.180000,100.470001,94.250000,96.779999,86.536179,49597500
2015-07-01,97.739998,103.989998,96.309998,103.110001,92.196159,48475700
2015-08-01,103.169998,105.370003,88.430000,94.269997,84.291840,56966300
2015-09-01,91.879997,99.940002,91.680000,98.260002,87.859520,60092500
2015-10-01,98.470001,109.860001,96.309998,107.199997,95.853256,55509800
2015-11-01,107.080002,108.430000,103.019997,107.220001,96.901199,46891900
2015-12-01,107.290001,109.650002,101.910004,104.500000,94.442970,54959900
2016-01-01,102.620003,105.650002,97.139999,105.540001,95.382889,66081200
2016-02-01,104.750000,106.800003,91.400002,100.260002,90.611031,72193500
2016-03-01,101.379997,116.510002,101.000000,115.400002,104.293976,68422700
2016-04-01,114.760002,116.519997,111.790001,112.919998,102.052650,49572000
2016-05-01,112.900002,119.720001,112.250000,118.970001,108.564362,37905300
2016-06-01,118.970001,120.779999,108.660004,113.290001,103.381157,50791400
2016-07-01,113.660004,118.000000,111.330002,112.809998,102.943138,43799800
2016-08-01,112.580002,116.199997,111.730003,115.000000,104.941605,42291400
2016-09-01,114.750000,124.959999,108.830002,122.169998,111.484474,58695000
2016-10-01,121.589996,122.470001,114.510002,116.239998,106.073151,50003000
2016-11-01,116.500000,121.529999,114.660004,119.430000,110.117821,54957500
2016-12-01,119.500000,125.720001,116.089996,117.129997,107.997162,49415000
2017-01-01,117.379997,118.360001,112.610001,113.870003,104.991348,52904600
2017-02-01,113.800003,123.430000,112.309998,122.500000,112.948463,38174000
2017-03-01,123.239998,126.529999,118.300003,119.879997,110.532730,65634500
2017-04-01,118.000000,121.349998,114.820000,121.300003,111.842026,42332600
2017-05-01,121.370003,124.599998,119.410004,124.470001,115.955490,40493000
2017-06-01,124.930000,128.470001,119.099998,123.680000,115.219536,56432600
2017-07-01,123.820000,129.699997,122.029999,128.820007,120.007942,33694900
2017-08-01,129.100006,130.919998,127.260002,130.759995,121.815193,34604900
2017-09-01,130.949997,138.699997,129.100006,135.070007,125.830383,50820700
2017-10-01,135.229996,143.779999,133.660004,142.360001,132.621735,41387500
2017-11-01,142.259995,148.600006,141.470001,148.009995,139.220673,34120000
2017-12-01,147.699997,158.440002,145.750000,153.089996,143.999008,40816400
2018-01-01,153.500000,162.600006,152.779999,160.699997,151.157135,42247000
2018-02-01,160.160004,165.580002,148.789993,161.009995,151.448685,43864100
2018-03-01,161.279999,164.300003,147.160004,153.500000,144.384674,66273100
2018-04-01,151.820007,155.699997,146.050003,151.199997,142.221252,42164300
2018-05-01,151.089996,157.649994,149.139999,155.740005,147.784348,37186500
2018-06-01,156.940002,165.559998,155.300003,163.589996,155.233353,57789200
2018-07-01,161.899994,168.949997,158.080002,159.330002,151.190918,42665600
2018-08-01,160.309998,169.919998,157.839996,169.070007,160.433411,37640800
2018-09-01,168.759995,175.639999,167.500000,170.199997,161.505661,40698200
2018-10-01,171.139999,174.820007,150.630005,157.619995,149.568298,53970000
